artist,album,track_name,track_id,danceability,energy,loudness,instrumentalness,liveness,valence,tempo
DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0,0.101,0.497,89.977
DJ Khaled,POPSTAR (feat. Drake),POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,-4.818,0,0.134,0.45,163.071
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0,0.335,0.557,95.39
Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),5T490vvoFNU6psep0NPmxs,0.795,0.48,-8.556,0,0.271,0.723,149.919
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,-5.224,0,0.185,0.835,145.013
Juice WRLD,Legends Never Die,Wishing Well,6o3QUC5oAE4g6WxRIFcZtb,0.65,0.613,-6.13,0,0.267,0.0804,149.972
Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,-5.652,0,0.129,0.664,122.031
Dua Lipa,Break My Heart,Break My Heart,1raaNykBg1bDnWENUiglUA,0.73,0.729,-3.434,1.39e-06,0.349,0.467,113.012
StaySolidRocky,Party Girl,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,-9.966,0,0.0996,0.629,130.022
Juice WRLD,Legends Never Die,Come & Go (with Marshmello),7y7w4tl4MaRC2UMEj1mPtr,0.625,0.814,-5.181,0,0.158,0.535,144.991
SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0107,0.353,0.898,121.975
Chris Brown,Slime & B,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,-8.932,0,0.25,0.581,94.148
Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,0.597,0.45,-6.658,0,0.382,0.537,178.765
Megan Thee Stallion,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,0.822,0.743,-4.772,0,0.127,0.636,84.459
Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,-7.567,0.00188,0.393,0.33,112.05
Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,-7.088,0,0.0541,0.452,93.995
Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,-3.764,0,0.323,0.646,123.056
BENEE,STELLA & STEVE,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,-4.689,3.04e-05,0.123,0.817,128.977
The Weeknd,Blinding Lights,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.000209,0.0938,0.345,171.017
Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,0.49,0.618,-5.655,3.77e-06,0.259,0.286,99.7
Justin Bieber,Intentions,Intentions,364dI1bYnvamSnBJ8JcNzN,0.811,0.553,-6.644,0,0.105,0.86,148.014
Black Eyed Peas,MAMACITA,MAMACITA,14wf185UxfNbSy8dwt4r4q,0.894,0.635,-6.929,0.00105,0.0823,0.428,105.013
Curtis Waters,Stunnin',Stunnin',2LUdpPCiiza6UQugipjMeS,0.906,0.604,-8.332,0,0.255,0.899,99.996
J. Cole,Lewis Street,Lion King On Ice,1ZvBVbsaNqHEP6ymXaPGlj,0.742,0.671,-7.577,0,0.118,0.206,139.932
Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,-8.415,2.58e-05,0.126,0.322,86.97
Kygo,Lose Somebody,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,0.58,0.586,-6.883,0,0.0755,0.507,147.988
Regard,Secrets,Secrets,66W1rVTnEv86dIkFhoiElg,0.848,0.768,-5.386,0.000785,0.195,0.777,118.961
Ava Max,Kings & Queens,Kings & Queens,76nqCfJOcFFWBJN32PAksn,0.638,0.688,-4.056,0,0.126,0.434,129.856
Drake,Toosie Slide,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,6.15e-06,0.114,0.837,81.618
S1mba,Rover (feat. DTG),Rover (feat. DTG),4slSrbTK1sNK4I1mDYEthf,0.613,0.624,-6.66,0,0.283,0.804,62.948
Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,-6.832,0,0.0714,0.694,112.022
Powfu,death bed (coffee for your head) (feat. beabadoobee),death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0,0.696,0.348,144.026
Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,-5.591,0,0.174,0.637,120.03
Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),4wosxLl0mAqhneDzya2MfY,0.732,0.874,-3.158,1.17e-05,0.0489,0.905,122.961
Conkarah,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0dZpw3h6KZhcHec61qwevZ,0.824,0.854,-5.312,4.95e-05,0.117,0.896,95.114
Rod Wave,Pray 4 Love,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,0.904,0.252,-17.54,0,0.104,0.227,117.994
Trevor Daniel,Past Life (with Selena Gomez),Past Life (with Selena Gomez),4P6IttK2PRBjyr3fm0pP7t,0.612,0.539,-5.071,0,0.18,0.294,79.948
Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,-9.386,0,0.0906,0.0799,124.099
Peach Tree Rascals,Mariposa,Mariposa,4ja2gzrNh9VNigzoXfmbwD,0.676,0.525,-5.88,0,0.356,0.421,112.011
Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ego Death (feat. Kanye West, FKA twigs & Skrillex)",4JB0EAT4BkLShTyTt50FmO,0.813,0.615,-5.624,0,0.654,0.321,111.039
BLACKPINK,How You Like That,How You Like That,3vAn0qZzdyuHamcrpkfiX3,0.828,0.782,-4.014,3.41e-05,0.0544,0.351,130.013
The Weeknd,After Hours,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,-5.371,8.1e-05,0.0736,0.717,100.021
Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,-6.444,2.32e-05,0.273,0.64,120.023
Lil Mosey,Blueberry Faygo,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,0.774,0.554,-7.909,0,0.132,0.349,99.034
The Kid LAROI,GO (feat. Juice WRLD),GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,0.544,0.744,-5.007,0,0.336,0.572,73.699
Zoe Wees,Control,Control,50Td3qilgs8BLtv8mHyT1t,0.599,0.465,-4.95,1.57e-06,0.149,0.0678,113.82
Lewis Capaldi,Before You Go,Before You Go,7ce20yLkzuXXLUhzIDoZih,0.459,0.575,-4.858,0,0.0885,0.183,111.881
Melanie Martinez,Cry Baby (Deluxe Edition),Play Date,4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,-5.077,0,0.224,0.446,123.97
Lil Baby,My Turn (Deluxe),We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,0.926,0.542,-5.064,0,0.0877,0.564,135.14
ROSALÍA,TKN (feat. Travis Scott),TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,0.776,0.509,-6.266,1.49e-06,0.115,0.485,94.634
